NAME,CITY,STATE,NAICS_DESC
LIVING ARTS COLLEGE,RALEIGH,NC,JUNIOR COLLEGES
CUMBERLAND COUNTY COLLEGE,VINELAND,NJ,JUNIOR COLLEGES
CVPH MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHNOLOGY,PLATTSBURGH,NY,OTHER TECHNICAL AND TRADE SCHOOLS
ST. JOSEPH'S COLLEGE-NEW YORK,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LONG ISLAND UNIVERSITY,BROOKVILLE,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SUNY WESTCHESTER COMMUNITY COLLEGE,VALHALLA,NY,JUNIOR COLLEGES
PHAGANS GRANTS PASS COLLEGE OF BEAUTY,GRANTS PASS,OR,COSMETOLOGY AND BARBER SCHOOLS
GENEVA COLLEGE,BEAVER FALLS,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PLATT COLLEGE-BERKS TECHNICAL INSTITUTE,WYOMISSING,PA,JUNIOR COLLEGES
ERIE INSTITUTE OF TECHNOLOGY INC,ERIE,PA,JUNIOR COLLEGES
PRESBYTERIAN COLLEGE,CLINTON,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CENTRAL TEXAS BEAUTY COLLEGE-ROUND ROCK,ROUND ROCK,TX,COSMETOLOGY AND BARBER SCHOOLS
MARANATHA BAPTIST UNIVERSITY,WATERTOWN,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FORTIS INSTITUTE-TOWSON,TOWSON,MD,OTHER TECHNICAL AND TRADE SCHOOLS
TALMUDICAL ACADEMY-NEW JERSEY,ADELPHIA,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OTSEGO AREA BOCES-PRACTICAL NURSING PROGRAM,ONEONTA,NY,OTHER TECHNICAL AND TRADE SCHOOLS
SUNY-SYSTEM OFFICE,ALBANY,NY,EDUCATIONAL SUPPORT SERVICES
GUILFORD COLLEGE,GREENSBORO,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HALIFAX COMMUNITY COLLEGE,WELDON,NC,JUNIOR COLLEGES
UNIVERSITY OF MOUNT OLIVE,MOUNT OLIVE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NORTHEAST ALABAMA COMMUNITY COLLEGE,RAINSVILLE,AL,JUNIOR COLLEGES
ARKANSAS STATE UNIVERSITY THREE RIVERS,MALVERN,AR,JUNIOR COLLEGES
UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COLLEGE OF THE HOLY CROSS,WORCESTER,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ROCKHURST UNIVERSITY,KANSAS CITY,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DAEMEN COLLEGE,AMHERST,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
RHODE ISLAND SCHOOL OF DESIGN,PROVIDENCE,RI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WESTERN TECHNICAL COLLEGE,EL PASO,TX,JUNIOR COLLEGES
UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,SEATTLE,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WISCONSIN LUTHERAN COLLEGE,MILWAUKEE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
INTERCOAST COLLEGES-RIVERSIDE,RIVERSIDE,CA,OTHER TECHNICAL AND TRADE SCHOOLS
WEST COAST UNIVERSITY-LOS ANGELES,NORTH HOLLYWOOD,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHEASTERN INSTITUTE-CHARLESTON,NORTH CHARLESTON,SC,OTHER TECHNICAL AND TRADE SCHOOLS
COMMUNITY CHRISTIAN COLLEGE,REDLANDS,CA,JUNIOR COLLEGES
NORTHWESTERN OKLAHOMA STATE UNIVERSITY,ALVA,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CLARION UNIVERSITY OF PENNSYLVANIA,CLARION,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LEWIS AND CLARK COMMUNITY COLLEGE,GODFREY,IL,JUNIOR COLLEGES
RABBINICAL COLLEGE TELSHE,WICKLIFFE,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TRINITY UNIVERSITY,SAN ANTONIO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
RICE UNIVERSITY,HOUSTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,TERRE HAUTE,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OTTERBEIN UNIVERSITY,WESTERVILLE,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OGLE SCHOOL HAIR SKIN NAILS-HURST,HURST,TX,COSMETOLOGY AND BARBER SCHOOLS
PURDUE UNIVERSITY GLOBAL-DAVENPORT,DAVENPORT,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CADDO KIOWA TECHNOLOGY CENTER,FORT COBB,OK,BUSINESS AND SECRETARIAL SCHOOLS
SEBRING CAREER SCHOOLS-HOUSTON,HOUSTON,TX,COSMETOLOGY AND BARBER SCHOOLS
BRYANT & STRATTON COLLEGE-SOLON,SOLON,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TEXAS COLLEGE OF COSMETOLOGY-ABILENE,ABILENE,TX,COSMETOLOGY AND BARBER SCHOOLS
UNIVERSITY OF WASHINGTON-BOTHELL CAMPUS,BOTHELL,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SANDUSKY CAREER CENTER,SANDUSKY,OH,OTHER TECHNICAL AND TRADE SCHOOLS
RASMUSSEN COLLEGE-ILLINOIS,ROCKFORD,IL,JUNIOR COLLEGES
CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,JUNIOR COLLEGES
CYPRESS COLLEGE,CYPRESS,CA,JUNIOR COLLEGES
DENVER SEMINARY,LITTLETON,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
INTELLITEC COLLEGE-COLORADO SPRINGS,COLORADO SPRINGS,CO,JUNIOR COLLEGES
INTELLITEC COLLEGE-GRAND JUNCTION,GRAND JUNCTION,CO,JUNIOR COLLEGES
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MOUNT MERCY UNIVERSITY,CEDAR RAPIDS,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ILLINOIS STATE UNIVERSITY,NORMAL,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GRAMBLING STATE UNIVERSITY,GRAMBLING,LA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
KENRICK GLENNON SEMINARY,SAINT LOUIS,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MERRELL UNIVERSITY OF BEAUTY ARTS AND SCIENCE,JEFFERSON CITY,MO,COSMETOLOGY AND BARBER SCHOOLS
COUNTY COLLEGE OF MORRIS,RANDOLPH,NJ,JUNIOR COLLEGES
AMERICAN JEWISH UNIVERSITY,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,COSTA MESA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF NORTHERN COLORADO,GREELEY,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,DE QUEEN,AR,JUNIOR COLLEGES
MOUNTAIN VIEW COLLEGE,DALLAS,TX,JUNIOR COLLEGES
SEATTLE PACIFIC UNIVERSITY,SEATTLE,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FRESNO PACIFIC UNIVERSITY,FRESNO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
REFORMED PRESBYTERIAN THEOLOGICAL SEMINARY,PITTSBURGH,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NEW COLLEGE OF FLORIDA,SARASOTA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EASTERN OKLAHOMA COUNTY TECHNOLOGY CENTER,CHOCTAW,OK,OTHER TECHNICAL AND TRADE SCHOOLS
LINFIELD COLLEGE-ONLINE AND CONTINUING EDUCATION,MCMINNVILLE,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YESHIVAS BE'ER YITZCHOK,ELIZABETH,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
DIGRIGOLI SCHOOL OF COSMETOLOGY,WEST SPRINGFIELD,MA,COSMETOLOGY AND BARBER SCHOOLS
LAKEWOOD SCHOOL OF THERAPEUTIC MASSAGE,PORT HURON,MI,OTHER TECHNICAL AND TRADE SCHOOLS
PARDEE RAND GRADUATE SCHOOL,SANTA MONICA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
POPE ST JOHN XXIII NATIONAL SEMINARY,WESTON,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHWEST MINNESOTA STATE UNIVERSITY,MARSHALL,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
KIRKSVILLE AREA TECHNICAL CENTER,KIRKSVILLE,MO,OTHER TECHNICAL AND TRADE SCHOOLS
STEPHENS COLLEGE,COLUMBIA,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MIDDLEBURY INSTITUTE OF INTERNATIONAL STUDIES AT MONTEREY,MONTEREY,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MESIVTHA TIFERETH JERUSALEM OF AMERICA,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHARLES AND SUES SCHOOL OF HAIR DESIGN,BRYAN,TX,COSMETOLOGY AND BARBER SCHOOLS
MORGANTOWN BEAUTY COLLEGE INC,MORGANTOWN,WV,COSMETOLOGY AND BARBER SCHOOLS
LANSING COMMUNITY COLLEGE,LANSING,MI,JUNIOR COLLEGES
SAINT PAUL SCHOOL OF THEOLOGY,LEAWOOD,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
INDIANA WESLEYAN UNIVERSITY - MARION DESIGN CO.,MARION,IN,OTHER TECHNICAL AND TRADE SCHOOLS
AVENUE FIVE INSTITUTE-SOUTH AUSTIN CAMPUS,AUSTIN,TX,OTHER TECHNICAL AND TRADE SCHOOLS
GLASGOW CALEDONIAN NEW YORK COLLEGE,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OHIO VALLEY COLLEGE OF TECHNOLOGY,EAST LIVERPOOL,OH,JUNIOR COLLEGES
PANACHE ACADEMY OF BEAUTY,BARABOO,WI,COSMETOLOGY AND BARBER SCHOOLS
OREGON STATE UNIVERSITY-CASCADES CAMPUS,BEND,OR,JUNIOR COLLEGES
CUTTING EDGE ACADEMY,SUCCASUNNA,NJ,COSMETOLOGY AND BARBER SCHOOLS
ITI TECHNICAL COLLEGE,BATON ROUGE,LA,JUNIOR COLLEGES
INTERNATIONAL BARBER COLLEGE,CHANDLER,AZ,COSMETOLOGY AND BARBER SCHOOLS
SALON PROFESSIONAL ACADEMY OF SAN ANTONIO,SAN ANTONIO,TX,COSMETOLOGY AND BARBER SCHOOLS
AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,WRIGHT-PATTERSON AFB,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF CINCINNATI-CLERMONT COLLEGE,BATAVIA,OH,JUNIOR COLLEGES
PURDUE UNIVERSITY GLOBAL-DES MOINES,URBANDALE,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,ANAHEIM,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN PUBLIC UNIVERSITY SYSTEM,CHARLES TOWN,WV,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NEW YORK FILM ACADEMY,BURBANK,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SALEM COLLEGE OF HAIRSTYLING,ROLLA,MO,COSMETOLOGY AND BARBER SCHOOLS
BROWN COLLEGE OF COURT REPORTING,ATLANTA,GA,JUNIOR COLLEGES
ROANE-JACKSON TECHNICAL CENTER,LEROY,WV,OTHER TECHNICAL AND TRADE SCHOOLS
SUMMIT SALON ACADEMY,TAMPA,FL,COSMETOLOGY AND BARBER SCHOOLS
YESHIVA ZICHRON ARYEH,FAR ROCKAWAY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAVANNAH COLLEGE OF ART AND DESIGN,SAVANNAH,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LABOURE COLLEGE,MILTON,MA,JUNIOR COLLEGES
BREWSTER TECHNICAL COLLEGE,TAMPA,FL,OTHER TECHNICAL AND TRADE SCHOOLS
AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,AUSTIN,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN INSTITUTE OF MEDICAL SCIENCES & EDUCATION,PISCATAWAY,NJ,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTHERN VIRGINIA UNIVERSITY,BUENA VISTA,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CUNY HUNTER COLLEGE,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ANNE ARUNDEL COMMUNITY COLLEGE,ARNOLD,MD,JUNIOR COLLEGES
TULSA WELDING SCHOOL-TULSA,TULSA,OK,JUNIOR COLLEGES
UNIVERSITY OF MARYLAND-COLLEGE PARK,COLLEGE PARK,MD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE SALON PROFESSIONAL ACADEMY-HUNTSVILLE,HUNTSVILLE,AL,COSMETOLOGY AND BARBER SCHOOLS
DORSEY SCHOOL OF BUSINESS-WOODHAVEN,WOODHAVEN,MI,BUSINESS AND SECRETARIAL SCHOOLS
ARTISTIC ACADEMY OF HAIR DESIGN,MORRIS PLAINS,NJ,COSMETOLOGY AND BARBER SCHOOLS
BENNETT CAREER INSTITUTE,WASHINGTON,DC,COSMETOLOGY AND BARBER SCHOOLS
APPALACHIAN STATE UNIVERSITY,BOONE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WELLSPRING SCHOOL OF ALLIED HEALTH-KANSAS CITY,KANSAS CITY,MO,OTHER TECHNICAL AND TRADE SCHOOLS
TREND SETTERS' ACADEMY OF BEAUTY CULTURE-LOUISVILLE,LOUISVILLE,KY,COSMETOLOGY AND BARBER SCHOOLS
ADVANCED TECHNOLOGY INSTITUTE,VIRGINIA BEACH,VA,JUNIOR COLLEGES
ANNENBERG SCHOOL OF NURSING,RESEDA,CA,OTHER TECHNICAL AND TRADE SCHOOLS
WEST COAST ULTRASOUND INSTITUTE,LOS ANGELES,CA,JUNIOR COLLEGES
THE GENERAL THEOLOGICAL SEMINARY,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
KEUNE ACADEMY BY 124,LAWRENCEVILLE,GA,COSMETOLOGY AND BARBER SCHOOLS
UCAS UNIVERSITY OF COSEMTOLOGY ARTS & SCIENCES-MCALLEN,MCALLEN,TX,COSMETOLOGY AND BARBER SCHOOLS
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,ALBANY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WESTERN CAROLINA UNIVERSITY,CULLOWHEE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ALL-STATE CAREER-BALTIMORE,BALTIMORE,MD,OTHER TECHNICAL AND TRADE SCHOOLS
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ALLSTATE HAIRSTYLING & BARBER COLLEGE,CLEVELAND,OH,COSMETOLOGY AND BARBER SCHOOLS
ADVANCED TRAINING INSTITUTE,LAS VEGAS,NV,OTHER TECHNICAL AND TRADE SCHOOLS
ANTIOCH UNIVERSITY-NEW ENGLAND,KEENE,NH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
AMERICAN INSTITUTE OF BEAUTY,LARGO,FL,COSMETOLOGY AND BARBER SCHOOLS
THE INTERNATIONAL CULINARY CENTER,NEW YORK,NY,OTHER TECHNICAL AND TRADE SCHOOLS
BARNARD COLLEGE,NEW YORK,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF HAWAII AT HILO,HILO,HI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PAUL MITCHELL THE SCHOOL-SPRINGFIELD,SPRINGFIELD,MO,COSMETOLOGY AND BARBER SCHOOLS
MOUNT WACHUSETT COMMUNITY COLLEGE,GARDNER,MA,JUNIOR COLLEGES
PAUL MITCHELL THE SCHOOL-CHICAGO,CHICAGO,IL,COSMETOLOGY AND BARBER SCHOOLS
ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-ROCHESTER,ROCHESTER,NY,OTHER TECHNICAL AND TRADE SCHOOLS
HAZLETON AREA CAREER CENTER,HAZLE TWP.,PA,OTHER TECHNICAL AND TRADE SCHOOLS
SHELTON STATE COMMUNITY COLLEGE,TUSCALOOSA,AL,JUNIOR COLLEGES
WASHINGTON STATE COMMUNITY COLLEGE,MARIETTA,OH,JUNIOR COLLEGES
UMPQUA COMMUNITY COLLEGE,ROSEBURG,OR,JUNIOR COLLEGES
RIO GRANDE VALLEY COLLEGE,PHARR,TX,OTHER TECHNICAL AND TRADE SCHOOLS
WESTERN NEBRASKA COMMUNITY COLLEGE,SCOTTSBLUFF,NE,JUNIOR COLLEGES
ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,DOTHAN,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FIRST COAST BARBER ACADEMY,JACKSONVILLE,FL,COSMETOLOGY AND BARBER SCHOOLS
WEST COAST UNIVERSITY-MIAMI,DORAL,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
APARICIO-LEVY TECHNICAL COLLEGE,TAMPA,FL,COMPUTER TRAINING
ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BET MEDRASH GADOL ATERET TORAH,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MICHIGAN CAREER AND TECHNICAL INSTITUTE,PLAINWELL,MI,OTHER TECHNICAL AND TRADE SCHOOLS
UNITED EDUCATION INSTITUTE-ONTARIO,ONTARIO,CA,OTHER TECHNICAL AND TRADE SCHOOLS
UNITED EDUCATION INSTITUTE-UEI COLLEGE STOCKTON,STOCKTON,CA,OTHER TECHNICAL AND TRADE SCHOOLS
RIVER VALLEY SCHOOL OF MASSAGE,RUSSELLVILLE,AR,OTHER TECHNICAL AND TRADE SCHOOLS
ACADEMY OF INTERACTIVE ENTERTAINMENT,LAFAYETTE,LA,OTHER TECHNICAL AND TRADE SCHOOLS
STERLING COLLEGE,STERLING,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MESABI RANGE COLLEGE,VIRGINIA,MN,JUNIOR COLLEGES
GALVESTON COLLEGE,GALVESTON,TX,JUNIOR COLLEGES
GREAT PLAINS TECHNOLOGY CENTER,LAWTON,OK,OTHER TECHNICAL AND TRADE SCHOOLS
FORSYTH TECHNICAL COMMUNITY COLLEGE,WINSTON-SALEM,NC,JUNIOR COLLEGES
CAMDEN COUNTY COLLEGE,BLACKWOOD,NJ,JUNIOR COLLEGES
TULSA COMMUNITY COLLEGE,TULSA,OK,JUNIOR COLLEGES
AVEDA INSTITUTE-CHICAGO,CHICAGO,IL,COSMETOLOGY AND BARBER SCHOOLS
COLLEGE OF BUSINESS AND TECHNOLOGY-CUTLER BAY,CUTLER BAY,FL,JUNIOR COLLEGES
INSTITUTE OF ADVANCED MEDICAL ESTHETICS,ASHLAND,VA,COSMETOLOGY AND BARBER SCHOOLS
CAROLINA COLLEGE OF BIBLICAL STUDIES,FAYETTEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ELITE COSMETOLOGY SCHOOL,YUCCA VALLEY,CA,COSMETOLOGY AND BARBER SCHOOLS
PALMETTO BEAUTY SCHOOL,SPARTANBURG,SC,COSMETOLOGY AND BARBER SCHOOLS
PAUL MITCHELL THE SCHOOL-FORT MYERS,FORT MYERS,FL,COSMETOLOGY AND BARBER SCHOOLS
COLUMBIA INSTITUTE,SILVER SPRING,MD,JUNIOR COLLEGES
BRIDGEWATER STATE UNIVERSITY,BRIDGEWATER,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,ANAHEIM,CA,EDUCATIONAL SUPPORT SERVICES
PENNSYLVANIA STATE UNIVERSITY-PENN STATE SCRANTON,DUNMORE,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF SOUTH CAROLINA-SALKEHATCHIE,ALLENDALE,SC,JUNIOR COLLEGES
CENTRAL TECHNOLOGY CENTER,DRUMRIGHT,OK,OTHER TECHNICAL AND TRADE SCHOOLS
GEORGIA STATE UNIVERSITY-PERIMETER COLLEGE,ATLANTA,GA,JUNIOR COLLEGES
ALL-STATE CAREER SCHOOL-PITTSBURGH,WEST MIFFLIN,PA,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,EDWARDSVILLE,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YUBA COLLEGE,MARYSVILLE,CA,JUNIOR COLLEGES
SANTA FE COLLEGE,GAINESVILLE,FL,JUNIOR COLLEGES
SAVANNAH TECHNICAL COLLEGE,SAVANNAH,GA,JUNIOR COLLEGES
JAMES A RHODES STATE COLLEGE,LIMA,OH,JUNIOR COLLEGES
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-COVINGTON,COVINGTON,TN,OTHER TECHNICAL AND TRADE SCHOOLS
DEPAUW UNIVERSITY,GREENCASTLE,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MOUNT MARTY COLLEGE,YANKTON,SD,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CLATSOP COMMUNITY COLLEGE,ASTORIA,OR,JUNIOR COLLEGES
NICOLET AREA TECHNICAL COLLEGE,RHINELANDER,WI,JUNIOR COLLEGES
TARLETON STATE UNIVERSITY,STEPHENVILLE,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF WISCONSIN-LA CROSSE,LA CROSSE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FRIENDS UNIVERSITY,WICHITA,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
JOHN CARROLL UNIVERSITY,UNIVERSITY HEIGHTS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
OHIO MEDIA SCHOOL-VALLEY VIEW,VALLEY VIEW,OH,OTHER TECHNICAL AND TRADE SCHOOLS
CAREERS UNLIMITED,OREM,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SOUTHWEST UNIVERSITY OF VISUAL ARTS-TUCSON,TUCSON,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE ACADEMY OF RADIO AND TV BROADCASTING,HUNTINGTON BEACH,CA,OTHER TECHNICAL AND TRADE SCHOOLS
WESTMINSTER COLLEGE,SALT LAKE CITY,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF ST FRANCIS,JOLIET,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHRISTIAN THEOLOGICAL SEMINARY,INDIANAPOLIS,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHARLOTTE TECHNICAL COLLEGE,PORT CHARLOTTE,FL,OTHER TECHNICAL AND TRADE SCHOOLS
ORANGE TECHNICAL COLLEGE-MID FLORIDA CAMPUS,ORLANDO,FL,OTHER TECHNICAL AND TRADE SCHOOLS
SMITH COLLEGE,NORTHAMPTON,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MICHIGAN BARBER SCHOOL INC,DETROIT,MI,OTHER TECHNICAL AND TRADE SCHOOLS
EVANGEL UNIVERSITY,SPRINGFIELD,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BRYAN COLLEGE OF HEALTH SCIENCES,LINCOLN,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NEBRASKA INDIAN COMMUNITY COLLEGE,MACY,NE,JUNIOR COLLEGES
RIVER VALLEY COMMUNITY COLLEGE,CLAREMONT,NH,JUNIOR COLLEGES
NEW MEXICO HIGHLANDS UNIVERSITY,LAS VEGAS,NM,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CAZENOVIA COLLEGE,CAZENOVIA,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MONROE COLLEGE,BRONX,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EMPIRE BEAUTY SCHOOL-BORDENTOWN,BORDENTOWN,NJ,COSMETOLOGY AND BARBER SCHOOLS
AVIATION INSTITUTE OF MAINTENANCE-INDIANAPOLIS,INDIANAPOLIS,IN,FLIGHT TRAINING
