NAME,CITY,STATE,NAICS_DESC
LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-WHITEVILLE,WHITEVILLE,TN,OTHER TECHNICAL AND TRADE SCHOOLS
UNION UNIVERSITY,JACKSON,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
NORTHERN WYOMING COMMUNITY COLLEGE DISTRICT,SHERIDAN,WY,JUNIOR COLLEGES
DESIGN INSTITUTE OF SAN DIEGO,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BRANDEIS UNIVERSITY,WALTHAM,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SAGINAW VALLEY STATE UNIVERSITY,UNIVERSITY CENTER,MI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
GUSTAVUS ADOLPHUS COLLEGE,SAINT PETER,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHERYL FELLS SCHOOL OF BUSINESS,NIAGARA FALLS,NY,BUSINESS AND SECRETARIAL SCHOOLS
NUETA HIDATSA SAHNISH COLLEGE,NEW TOWN,ND,JUNIOR COLLEGES
PLATT COLLEGE-LAWTON,LAWTON,OK,OTHER TECHNICAL AND TRADE SCHOOLS
NEW PROFESSIONS TECHNICAL INSTITUTE,MIAMI,FL,OTHER TECHNICAL AND TRADE SCHOOLS
ILISAGVIK COLLEGE,BARROW,AK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PENNSYLVANIA COLLEGE OF ART AND DESIGN,LANCASTER,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CORTIVA INSTITUTE-BALTIMORE,LINTHICUM,MD,OTHER TECHNICAL AND TRADE SCHOOLS
SOUTH COAST COLLEGE,ORANGE,CA,JUNIOR COLLEGES
HSHS ST. JOHN'S HOSPITAL SCHOOL OF CLINICAL LABORATORY SCIENCE,SPRINGFIELD,IL,OTHER TECHNICAL AND TRADE SCHOOLS
HASTINGS COLLEGE,HASTINGS,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YORK COLLEGE,YORK,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MESIVTA TORAH VODAATH RABBINICAL SEMINARY,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
ENID BEAUTY COLLEGE,ENID,OK,COSMETOLOGY AND BARBER SCHOOLS
HERZING UNIVERSITY-MADISON,MADISON,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SHAW UNIVERSITY,RALEIGH,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CURRY COLLEGE,MILTON,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MONTSERRAT COLLEGE OF ART,BEVERLY,MA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
KENYON COLLEGE,GAMBIER,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FORTIS COLLEGE-FOLEY,FOLEY,AL,OTHER TECHNICAL AND TRADE SCHOOLS
ECCLESIA COLLEGE,SPRINGDALE,AR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BARRY UNIVERSITY,MIAMI,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
LAKE AREA TECHNICAL COLLEGE,WATERTOWN,SD,JUNIOR COLLEGES
SOUTHWEST VIRGINIA COMMUNITY COLLEGE,CEDAR BLUFF,VA,JUNIOR COLLEGES
PAROBA COLLEGE OF COSMETOLOGY,EVERETT,WA,COSMETOLOGY AND BARBER SCHOOLS
SPARTAN COLLEGE OF AERONAUTICS & TECHNOLOGY,INGLEWOOD,CA,OTHER TECHNICAL AND TRADE SCHOOLS
INSTITUTE OF TECHNOLOGY,CLOVIS,CA,JUNIOR COLLEGES
AMERITECH COLLEGE-DRAPER,DRAPER,UT,JUNIOR COLLEGES
NORTHWEST MISSISSIPPI COMMUNITY COLLEGE,SENATOBIA,MS,JUNIOR COLLEGES
UNIVERSITY OF MARY HARDIN-BAYLOR,BELTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
TEXAS CHIROPRACTIC COLLEGE FOUNDATION INC,PASADENA,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
IOWA WESTERN COMMUNITY COLLEGE,COUNCIL BLUFFS,IA,JUNIOR COLLEGES
LAKE MICHIGAN COLLEGE,BENTON HARBOR,MI,JUNIOR COLLEGES
MUHLENBERG COLLEGE,ALLENTOWN,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
MADISON AREA TECHNICAL COLLEGE,MADISON,WI,JUNIOR COLLEGES
PRO WAY HAIR SCHOOL,STONE MOUNTAIN,GA,COSMETOLOGY AND BARBER SCHOOLS
GWINNETT TECHNICAL COLLEGE,LAWRENCEVILLE,GA,JUNIOR COLLEGES
OHIO UNIVERSITY-MAIN CAMPUS,ATHENS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
UNIVERSITY OF SCIENCE AND ARTS OF OKLAHOMA,CHICKASHA,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WAYLAND BAPTIST UNIVERSITY,PLAINVIEW,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BRYANT & STRATTON COLLEGE-VIRGINIA BEACH,VIRGINIA BEACH,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
SEATTLE UNIVERSITY,SEATTLE,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
YTI CAREER INSTITUTE-ALTOONA,ALTOONA,PA,JUNIOR COLLEGES
CENTRAL SUSQUEHANNA INTERMEDIATE UNIT LPN CAREER,LEWISBURG,PA,OTHER TECHNICAL AND TRADE SCHOOLS
THE INSTITUTE OF BEAUTY AND WELLNESS,MILWAUKEE,WI,COSMETOLOGY AND BARBER SCHOOLS
LYON COLLEGE,BATESVILLE,AR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
PROFESSIONAL COSMETOLOGY EDUCATION CENTER,EL DORADO,AR,COSMETOLOGY AND BARBER SCHOOLS
YESHIVA OHR ELCHONON CHABAD WEST COAST TALMUDICAL SEMINARY,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
HARVEY MUDD COLLEGE,CLAREMONT,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
FULLER THEOLOGICAL SEMINARY,PASADENA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
CHICAGO STATE UNIVERSITY,CHICAGO,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
BATON ROUGE SCHOOL OF COMPUTERS,BATON ROUGE,LA,JUNIOR COLLEGES
SANTA MONICA COLLEGE,SANTA MONICA,CA,JUNIOR COLLEGES
REID STATE TECHNICAL COLLEGE,EVERGREEN,AL,JUNIOR COLLEGES
RIO HONDO COLLEGE,WHITTIER,CA,JUNIOR COLLEGES
SHORELINE COMMUNITY COLLEGE,SHORELINE,WA,JUNIOR COLLEGES
MCKENDREE UNIVERSITY,LEBANON,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
EASTFIELD COLLEGE,MESQUITE,TX,JUNIOR COLLEGES
JUDSON UNIVERSITY,ELGIN,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
THE COLLEGE OF WESTCHESTER,WHITE PLAINS,NY,JUNIOR COLLEGES
FRANKLIN TECHNOLOGY CENTER ADULT EDUCATION,JOPLIN,MO,OTHER TECHNICAL AND TRADE SCHOOLS
BALDWIN BEAUTY SCHOOL-NORTH AUSTIN,AUSTIN,TX,COSMETOLOGY AND BARBER SCHOOLS
LOS ANGELES FILM SCHOOL,HOLLYWOOD,CA,JUNIOR COLLEGES
MIDWEST TECHNICAL INSTITUTE-SPRINGFIELD,SPRINGFIELD,IL,OTHER TECHNICAL AND TRADE SCHOOLS
